"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 JA1)","2023-May-03 01:15 ± < 00:01","0.02518","0.02509","5.01","4.99","26.6","13 m -   29 m","0"
"(2023 HV5)","2023-May-03 03:16 ± < 00:01","0.00291","0.00290","8.93","8.82","27.2","9.8 m -   22 m","0"
"(2023 JM2)","2023-May-03 05:23 ± < 00:01","0.04008","0.03996","6.33","6.32","26.0","17 m -   38 m","0"
"(2023 HF7)","2023-May-04 00:02 ± < 00:01","0.00427","0.00426","13.10","13.05","26.8","12 m -   26 m","0"
"(2023 HH7)","2023-May-04 05:47 ± < 00:01","0.00561","0.00558","24.55","24.53","25.5","21 m -   47 m","1"
"(2023 JW4)","2023-May-04 08:00 ±    00:04","0.01806","0.01796","13.31","13.30","26.4","14 m -   32 m","0"
"(2023 HZ4)","2023-May-04 10:19 ± < 00:01","0.02058","0.02039","22.75","22.75","24.0","43 m -   96 m","1"
"(2023 JK4)","2023-May-04 11:41 ±    00:02","0.03030","0.03010","15.80","15.79","25.0","26 m -   59 m","0"
"(2006 HX57)","2023-May-05 15:24 ± < 00:01","0.01737","0.01737","11.02","11.00","25.3","23 m -   51 m","0"
"(2023 JJ)","2023-May-05 23:01 ± < 00:01","0.01185","0.01184","4.45","4.40","26.8","11 m -   25 m","0"
"(2023 MC1)","2023-May-06 03:47 ±    00:09","0.04260","0.04244","2.88","2.86","25.4","22 m -   50 m","0"
"(2023 HT6)","2023-May-07 00:39 ± < 00:01","0.00819","0.00812","9.16","9.13","26.2","16 m -   35 m","0"
"(2023 KL2)","2023-May-07 05:59 ±    00:26","0.03849","0.03773","8.25","8.24","25.8","19 m -   42 m","0"
"(2023 JB4)","2023-May-07 07:16 ± < 00:01","0.04830","0.04810","7.00","6.99","26.0","17 m -   38 m","0"
"(2023 JT)","2023-May-07 17:25 ± < 00:01","0.02097","0.02094","8.35","8.33","25.7","19 m -   43 m","0"
"(2023 HP1)","2023-May-07 22:39 ± < 00:01","0.04093","0.04092","11.62","11.61","22.9","72 m -  160 m","0"
"(2023 JJ1)","2023-May-08 07:06 ± < 00:01","0.02009","0.02003","12.08","12.07","26.0","17 m -   37 m","0"
"(2023 JN)","2023-May-08 07:47 ± < 00:01","0.01717","0.01713","10.78","10.77","26.2","16 m -   35 m","0"
"(2023 JC1)","2023-May-08 09:26 ±    00:02","0.01204","0.01194","16.28","16.27","27.4","8.6 m -   19 m","0"
"(2023 JE)","2023-May-08 17:17 ± < 00:01","0.04522","0.04514","8.63","8.62","24.2","39 m -   86 m","0"
"(2023 JO)","2023-May-08 20:14 ± < 00:01","0.00062","0.00062","18.83","18.59","29.2","3.8 m -  8.6 m","0"
"(2023 JY)","2023-May-09 03:57 ± < 00:01","0.00259","0.00258","15.50","15.43","28.4","5.6 m -   13 m","0"
"(2023 JJ4)","2023-May-09 06:19 ±    00:05","0.01725","0.01714","18.02","18.01","26.0","17 m -   38 m","0"
"(2023 HG1)","2023-May-09 07:24 ±    00:01","0.02782","0.02780","2.36","2.32","26.3","14 m -   32 m","0"
"(2023 JH)","2023-May-09 10:40 ± < 00:01","0.00756","0.00755","6.33","6.28","28.2","6.0 m -   13 m","0"
"(2023 JU)","2023-May-09 17:08 ± < 00:01","0.02567","0.02562","6.77","6.75","27.1","10 m -   23 m","0"
"(2023 JF)","2023-May-09 23:41 ± < 00:01","0.00214","0.00214","7.07","6.90","27.6","7.8 m -   18 m","0"
"(2023 JD)","2023-May-10 02:56 ± < 00:01","0.00883","0.00881","9.68","9.65","26.7","12 m -   27 m","0"
"(2023 JM)","2023-May-10 10:41 ± < 00:01","0.00415","0.00415","13.55","13.50","27.4","8.7 m -   20 m","0"
"(2023 JQ)","2023-May-10 17:05 ± < 00:01","0.00355","0.00354","8.71","8.63","28.1","6.4 m -   14 m","0"
"(2023 JL)","2023-May-11 11:44 ± < 00:01","0.00419","0.00418","12.29","12.24","27.8","7.4 m -   17 m","0"
"(2023 JW1)","2023-May-11 19:51 ± < 00:01","0.02682","0.02658","22.35","22.34","25.4","22 m -   49 m","0"
"(2023 JA3)","2023-May-12 02:51 ±    00:05","0.00088","0.00088","8.00","7.62","29.7","3.0 m -  6.7 m","0"
